"url","price_in_rp","title","address","district","city","lat","long","facilities","property_type","ads_id","bedrooms","bathrooms","land_size_m2","building_size_m2","carports","certificate","electricity","maid_bedrooms","maid_bathrooms","floors","building_age","year_built","property_condition","building_orientation","garages","furnishing","price_in_billion_rp"
"https://www.rumah123.com/properti/bekasi/hos11360272/#qid~213b5619-a399-47b3-bfcf-faaef6b542d5",2.99e+09,"Rumah cantik Sumarecon Bekasi
Lingkungan asri, tenang & nyaman","Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,"Tempat Jemuran, Jalur Telepon, Taman,  Taman","rumah","hos11360272",4,4,239,272,0,"shm - sertifikat hak milik","4400 mah",0,1,2,5,2017,"bagus","",0,"unfurnished",NA
"https://www.rumah123.com/properti/bekasi/hos10680347/#qid~748f5d2d-8d3a-4a4e-a1b4-37c7be7ffc25",1.27e+09,"Rumah Kekinian, Magenta Summarecon Bekasi","Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,"Taman","rumah","hos10680347",3,2,55,69,1,"hgb - hak guna bangunan","2200 mah",0,0,2,NA,NA,"bagus","",0,"",NA
"https://www.rumah123.com/properti/bekasi/hos10685867/#qid~f6c2cf9d-44fa-4c1a-8749-8ee96b116e93",1.95e+09,"Rumah Cantik 2 Lantai Cluster Bluebell Summarecon Bekasi","Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751," Jogging Track,  Kolam Renang, Masjid,  Taman, Jalur Telepon,  Keamanan","rumah","hos10685867",3,3,119,131,1,"hgb - hak guna bangunan","2200 mah",1,1,2,NA,NA,"bagus","",1,"unfurnished",NA
"https://www.rumah123.com/properti/bekasi/hos10927790/#qid~f6c2cf9d-44fa-4c1a-8749-8ee96b116e93",3.3e+09,"Rumah Mewah 2Lantai L10x18 C di Cluster VERNONIA Summarecon Bekasi..","Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751," Jalur Telepon,  Jogging Track, Track Lari,  Kolam Renang, Kolam Renang,  Taman, Taman, CCTV, Jalur Telepon,  Keamanan","rumah","hos10927790",3,3,180,174,0,"shm - sertifikat hak milik","3500 mah",1,1,2,6,2016,"bagus sekali","utara",2,"unfurnished",NA
"https://www.rumah123.com/properti/bekasi/hos10785530/#qid~1807f915-9393-4e9c-a6d6-eb3d73117a15",4.5e+09,"Rumah Hoek di Cluster Maple Summarecon Bekasi, Bekasi","Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751," Jogging Track,  Kolam Renang, Taman, Jalur Telepon,  Keamanan","rumah","hos10785530",4,3,328,196,2,"shm - sertifikat hak milik","3500 mah",1,1,2,9,2013,"bagus","utara",1,"unfurnished",NA
"https://www.rumah123.com/properti/bekasi/hos11177142/#qid~1807f915-9393-4e9c-a6d6-eb3d73117a15",2.7e+09,"Rumah Siap Huni di Cluster Acasia, Summarecon Bekasi","Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,"Jalur Telepon, Taman,  Keamanan,  Kolam Renang","rumah","hos11177142",3,3,136,200,2,"shm - sertifikat hak milik","3500 mah",1,1,2,9,2013,"bagus","selatan",1,"semi furnished",NA
"https://www.rumah123.com/properti/bekasi/hos10720117/#qid~35c27ac2-b166-4762-83af-d2178576ef1b",2.35e+09,"Rumah di Cluster Maple Summarecon Bekasi","Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,"Keamanan, Kolam Renang","rumah","hos10720117",2,2,144,144,1,"hgb - hak guna bangunan","4400 mah",0,0,2,NA,NA,"","utara",1,"",NA
"https://www.rumah123.com/properti/bekasi/hos10753439/#qid~35c27ac2-b166-4762-83af-d2178576ef1b",4.5e+09,"Rumah Cluster Lotus Summarecon Bekasi","Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,"Keamanan, Kolam Renang","rumah","hos10753439",4,4,216,250,2,"hgb - hak guna bangunan","3500 mah",1,1,2,NA,NA,"","selatan",1,"",NA
"https://www.rumah123.com/properti/bekasi/hos11127849/#qid~35c27ac2-b166-4762-83af-d2178576ef1b",2.9e+09,"Rumah Cluster Palm Summarecon Bekasi","Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,"Kitchen Set","rumah","hos11127849",NA,3,200,152,2,"shm - sertifikat hak milik","4400 mah",3,1,2,NA,NA,"","selatan",0,"semi furnished",NA
"https://www.rumah123.com/properti/bekasi/hos11169103/#qid~35c27ac2-b166-4762-83af-d2178576ef1b",2.7e+09,"Rumah Cluster Acacia Summarecon Bekasi","Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,"Keamanan 24 jam, Kolam Renang","rumah","hos11169103",3,3,136,200,1,"shm - sertifikat hak milik","3500 mah",1,1,2,NA,NA,"","selatan",1,"semi furnished",NA
